RespondentID,Age,Gender,HouseholdSize,Occupation,Q1_CurrentApproachNutritiousMeals,Q2_PrioritizeNutritionalNeeds,Q3_FactorsInfluencingPurchase,Q4_UsedMobilePlatformExperience,Q5_WillingnessToPayForService,Q6_ApproachEnsuringDiverseDiet,Q7_FactorsInfluencingChoices,Q8_UsedMobilePlatformsForPlanning,Q9_MissingFoodsInChildDiet,Q10_WillingnessToPayBundles,Q11_RecentFoodChoiceExperience,Q12_ChallengesProvidingNutritiousMeals,Q13_InfoSourcesForNutrition,Q14_FeaturesDesiredInMobilePlatform,Q15_WillingnessToPayEducationService
47,21,Male,7,Domestic worker,I try to grow a few vegetables in sacks to supplement meals.,I prioritize milk and eggs for my children whenever I can afford them.,Discounts and promotions influence my choice.,I have never used a mobile platform because I lack a smartphone.,I could pay up to 200 KES weekly if food quality is guaranteed.,I mix maize with sukuma and beans when possible.,Credit access from sellers is important.,I once used an SMS-based system but stopped due to cost.,Chicken or fish are missing most weeks.,100 KES weekly if delivery is reliable.,I opted for sukuma wiki as the cheapest option available.,Limited availability of fresh foods in my area.,"I rarely use formal platforms, mostly word of mouth.",Cash-on-delivery option is important.,"I cannot pay extra, but free access would help."
48,22,Male,3,Casual worker,"I mostly cook ugali with sukuma wiki, but proteins are rare due to cost.",Sometimes I buy based on what children prefer to eat.,Discounts and promotions influence my choice.,I have never used a mobile platform because I lack a smartphone.,At most 100 KES weekly depending on my income.,I mix maize with sukuma and beans when possible.,Children’s preferences matter in my decisions.,I once used an SMS-based system but stopped due to cost.,Vegetables other than sukuma wiki are not common in our meals.,200 KES weekly for consistent bundles is fair.,I opted for sukuma wiki as the cheapest option available.,Markets are far and transport adds cost.,I listen to radio programs about child health.,Nutrition education in local language is valuable.,50 KES maximum for an education service.
49,27,Female,5,Housewife,Beans and lentils are my main source of protein for the children.,Sometimes I buy based on what children prefer to eat.,Discounts and promotions influence my choice.,I have never used a mobile platform because I lack a smartphone.,I would only pay if bundles save me money overall.,I mix maize with sukuma and beans when possible.,Freshness of food matters when I can afford it.,I once used an SMS-based system but stopped due to cost.,"Milk is often missing, which worries me for growth.",I would only pay if overall costs reduce my market spending.,I had to skip eggs because prices went up suddenly.,Food spoils quickly without refrigeration.,"I rarely use formal platforms, mostly word of mouth.",Nutrition education in local language is valuable.,200 KES monthly if it includes affordable bundles.
50,34,Female,3,Casual worker,"I prioritize milk when I have money, even if I skip other foods myself.","Affordability always comes first, then nutrition if possible.",Affordability is the main factor for me.,"I once tried ordering through a neighbor, but delivery was late.",At most 100 KES weekly depending on my income.,I mix maize with sukuma and beans when possible.,Freshness of food matters when I can afford it.,I have never used an app for food planning.,Fruits like bananas and oranges are not regular in our diet.,200 KES weekly for consistent bundles is fair.,Last week I bought beans instead of meat due to price.,I lack stable income to plan meals regularly.,I sometimes read posters in health centers.,Cash-on-delivery option is important.,150 KES monthly is acceptable with clear benefits.
51,36,Female,4,Casual worker,"I mostly cook ugali with sukuma wiki, but proteins are rare due to cost.",I try to buy fruits occasionally when extra money is available.,Affordability is the main factor for me.,I don’t trust online platforms to deliver fresh food.,I cannot pay extra due to my low income.,"I rotate between rice, ugali, and beans depending on prices.",I often choose based on convenience and distance.,I once used an SMS-based system but stopped due to cost.,Chicken or fish are missing most weeks.,150 KES weekly is reasonable if children’s diets improve.,I had to skip eggs because prices went up suddenly.,Fuel costs make cooking beans difficult.,"I rarely use formal platforms, mostly word of mouth.",Cash-on-delivery option is important.,150 KES monthly is acceptable with clear benefits.
52,39,Female,4,Domestic worker,"I prioritize milk when I have money, even if I skip other foods myself.",I prioritize milk and eggs for my children whenever I can afford them.,I avoid foods that spoil too quickly.,I would try if cash-on-delivery was an option.,150 KES weekly is fair if variety improves for children.,Limited income prevents me from achieving diversity regularly.,Freshness of food matters when I can afford it.,I have never used an app for food planning.,Vegetables other than sukuma wiki are not common in our meals.,50 KES extra is my maximum for delivery.,I reduced portion sizes so all children could eat.,Limited availability of fresh foods in my area.,I listen to radio programs about child health.,Recipes using cheap ingredients would help me.,"I cannot pay extra, but free access would help."
53,26,Female,4,Housewife,Beans and lentils are my main source of protein for the children.,I try to buy fruits occasionally when extra money is available.,I prefer sellers who allow credit when I don’t have cash.,I don’t trust online platforms to deliver fresh food.,At most 100 KES weekly depending on my income.,"I rotate between rice, ugali, and beans depending on prices.",I buy foods that last longer in storage.,I saw a neighbor use an app and it seemed useful.,"Milk is often missing, which worries me for growth.",I cannot afford more than 50 KES currently.,I reduced portion sizes so all children could eat.,I lack stable income to plan meals regularly.,I ask health workers when they visit.,Nutrition education in local language is valuable.,"I cannot pay extra, but free access would help."
54,26,Female,6,Informal trader,I try to grow a few vegetables in sacks to supplement meals.,"Affordability always comes first, then nutrition if possible.",I prefer sellers who allow credit when I don’t have cash.,I am interested but need help understanding how to use them.,I could pay up to 200 KES weekly if food quality is guaranteed.,I add dried fish occasionally for variety.,Freshness of food matters when I can afford it.,I once used an SMS-based system but stopped due to cost.,Chicken or fish are missing most weeks.,I cannot afford more than 50 KES currently.,I reduced portion sizes so all children could eat.,Markets are far and transport adds cost.,I listen to radio programs about child health.,Reminders for balanced meals would be useful.,I’d pay only if it reduces my expenses overall.
55,29,Female,3,Small farmer,"I mostly cook ugali with sukuma wiki, but proteins are rare due to cost.",I consider what lasts longer in storage when making decisions.,I buy based on what is available nearby.,I am interested but need help understanding how to use them.,I would only pay if bundles save me money overall.,"Cooking beans is my main strategy, though fuel costs are high.",Price is the strongest influence.,I would use if bundles included affordable staple foods.,Fruits like bananas and oranges are not regular in our diet.,50 KES extra is my maximum for delivery.,I bought maize flour in bulk because it was discounted.,Fuel costs make cooking beans difficult.,I sometimes read posters in health centers.,Recipes using cheap ingredients would help me.,"I cannot pay extra, but free access would help."
56,39,Female,4,Casual worker,"When income is very low, we reduce portion sizes to stretch food.",Vegetables like sukuma wiki are essential because they are relatively cheap.,I buy based on what is available nearby.,I am interested but need help understanding how to use them.,I would only pay if bundles save me money overall.,Sometimes I rely on neighbors’ advice for affordable variety.,I buy foods that last longer in storage.,I have never used an app for food planning.,Fruits like bananas and oranges are not regular in our diet.,150 KES weekly is reasonable if children’s diets improve.,Last week I bought beans instead of meat due to price.,Limited availability of fresh foods in my area.,I listen to radio programs about child health.,Reminders for balanced meals would be useful.,"I cannot pay extra, but free access would help."
57,30,Female,4,Casual worker,"Children usually eat porridge in the morning, sometimes plain tea if no milk.",Sometimes I buy based on what children prefer to eat.,Freshness and cleanliness of food are important.,"I once tried ordering through a neighbor, but delivery was late.",150 KES weekly is fair if variety improves for children.,"I rotate between rice, ugali, and beans depending on prices.",Price is the strongest influence.,Mobile platforms are confusing for me without training.,Eggs are rare due to high cost.,100 KES weekly if delivery is reliable.,I chose milk over vegetables because my child was sick.,I lack stable income to plan meals regularly.,I ask health workers when they visit.,Cash-on-delivery option is important.,150 KES monthly is acceptable with clear benefits.
58,26,Female,5,Informal trader,I try to grow a few vegetables in sacks to supplement meals.,I prioritize milk and eggs for my children whenever I can afford them.,Freshness and cleanliness of food are important.,I don’t trust online platforms to deliver fresh food.,At most 100 KES weekly depending on my income.,Limited income prevents me from achieving diversity regularly.,I buy foods that last longer in storage.,I saw a neighbor use an app and it seemed useful.,Fruits like bananas and oranges are not regular in our diet.,150 KES weekly is reasonable if children’s diets improve.,I opted for sukuma wiki as the cheapest option available.,Markets are far and transport adds cost.,I ask health workers when they visit.,Affordable bundle suggestions would attract me.,150 KES monthly is acceptable with clear benefits.
59,39,Female,3,Housewife,I try to grow a few vegetables in sacks to supplement meals.,I prioritize milk and eggs for my children whenever I can afford them.,I avoid foods that spoil too quickly.,"I once tried ordering through a neighbor, but delivery was late.",I cannot pay extra due to my low income.,Limited income prevents me from achieving diversity regularly.,Price is the strongest influence.,I would use if bundles included affordable staple foods.,Vegetables other than sukuma wiki are not common in our meals.,100 KES weekly if delivery is reliable.,I chose milk over vegetables because my child was sick.,Limited availability of fresh foods in my area.,I listen to radio programs about child health.,Nutrition education in local language is valuable.,200 KES monthly if it includes affordable bundles.
60,22,Female,3,Casual worker,"Children usually eat porridge in the morning, sometimes plain tea if no milk.",Sometimes I buy based on what children prefer to eat.,I avoid foods that spoil too quickly.,I am interested but need help understanding how to use them.,150 KES weekly is fair if variety improves for children.,"Cooking beans is my main strategy, though fuel costs are high.",Price is the strongest influence.,I would try if instructions were simple and in local language.,Eggs are rare due to high cost.,50 KES extra is my maximum for delivery.,Last week I bought beans instead of meat due to price.,Fuel costs make cooking beans difficult.,"I rarely use formal platforms, mostly word of mouth.",Nutrition education in local language is valuable.,100 KES monthly if it helps improve diet.
61,45,Female,4,Informal trader,"Children usually eat porridge in the morning, sometimes plain tea if no milk.",I try to buy fruits occasionally when extra money is available.,I avoid foods that spoil too quickly.,I would try if cash-on-delivery was an option.,50 KES extra for delivery would be acceptable.,I mix maize with sukuma and beans when possible.,I often choose based on convenience and distance.,I once used an SMS-based system but stopped due to cost.,Fruits like bananas and oranges are not regular in our diet.,50 KES extra is my maximum for delivery.,I chose milk over vegetables because my child was sick.,I lack stable income to plan meals regularly.,I listen to radio programs about child health.,Cash-on-delivery option is important.,100 KES monthly if it helps improve diet.
62,43,Female,5,Housewife,"I mostly cook ugali with sukuma wiki, but proteins are rare due to cost.",I consider what lasts longer in storage when making decisions.,I buy based on what is available nearby.,I have never used a mobile platform because I lack a smartphone.,50 KES extra for delivery would be acceptable.,"I rotate between rice, ugali, and beans depending on prices.",Freshness of food matters when I can afford it.,I have never used an app for food planning.,Vegetables other than sukuma wiki are not common in our meals.,50 KES extra is my maximum for delivery.,Last week I bought beans instead of meat due to price.,High prices prevent me from buying protein foods.,I listen to radio programs about child health.,Recipes using cheap ingredients would help me.,"I cannot pay extra, but free access would help."
63,22,Male,6,Housewife,"When income is very low, we reduce portion sizes to stretch food.","Affordability always comes first, then nutrition if possible.",I prefer sellers who allow credit when I don’t have cash.,I am interested but need help understanding how to use them.,50 KES extra for delivery would be acceptable.,"Cooking beans is my main strategy, though fuel costs are high.",Freshness of food matters when I can afford it.,I would use if bundles included affordable staple foods.,Chicken or fish are missing most weeks.,100 KES weekly if delivery is reliable.,I chose milk over vegetables because my child was sick.,Fuel costs make cooking beans difficult.,I get advice from local clinics during checkups.,Nutrition education in local language is valuable.,I’d pay only if it reduces my expenses overall.
64,27,Male,5,Informal trader,I try to grow a few vegetables in sacks to supplement meals.,Sometimes I buy based on what children prefer to eat.,Freshness and cleanliness of food are important.,I would try if cash-on-delivery was an option.,I would only pay if bundles save me money overall.,I mix maize with sukuma and beans when possible.,Credit access from sellers is important.,Mobile platforms are confusing for me without training.,Fruits like bananas and oranges are not regular in our diet.,50 KES extra is my maximum for delivery.,I reduced portion sizes so all children could eat.,Limited availability of fresh foods in my area.,I listen to radio programs about child health.,Affordable bundle suggestions would attract me.,150 KES monthly is acceptable with clear benefits.
65,38,Male,6,Casual worker,Beans and lentils are my main source of protein for the children.,Vegetables like sukuma wiki are essential because they are relatively cheap.,Freshness and cleanliness of food are important.,I have never used a mobile platform because I lack a smartphone.,At most 100 KES weekly depending on my income.,I add dried fish occasionally for variety.,Price is the strongest influence.,I have never used an app for food planning.,Vegetables other than sukuma wiki are not common in our meals.,150 KES weekly is reasonable if children’s diets improve.,I bought maize flour in bulk because it was discounted.,Limited availability of fresh foods in my area.,I ask health workers when they visit.,Simple interface easy for non-smartphone users.,50 KES maximum for an education service.
66,28,Female,3,Domestic worker,"Children usually eat porridge in the morning, sometimes plain tea if no milk.",I try to buy fruits occasionally when extra money is available.,Discounts and promotions influence my choice.,I have never used a mobile platform because I lack a smartphone.,150 KES weekly is fair if variety improves for children.,I mix maize with sukuma and beans when possible.,I buy foods that last longer in storage.,I have never used an app for food planning.,Fortified foods could help fill nutrition gaps.,100 KES weekly if delivery is reliable.,I chose milk over vegetables because my child was sick.,I lack stable income to plan meals regularly.,I learn from other mothers in the community.,Reminders for balanced meals would be useful.,50 KES maximum for an education service.
67,30,Female,7,Small farmer,"When income is very low, we reduce portion sizes to stretch food.",Vegetables like sukuma wiki are essential because they are relatively cheap.,Affordability is the main factor for me.,I don’t trust online platforms to deliver fresh food.,150 KES weekly is fair if variety improves for children.,"I rotate between rice, ugali, and beans depending on prices.",Freshness of food matters when I can afford it.,Mobile platforms are confusing for me without training.,Fortified foods could help fill nutrition gaps.,200 KES weekly for consistent bundles is fair.,I bought maize flour in bulk because it was discounted.,I lack stable income to plan meals regularly.,"I rarely use formal platforms, mostly word of mouth.",Nutrition education in local language is valuable.,150 KES monthly is acceptable with clear benefits.
68,40,Male,5,Domestic worker,"When income is very low, we reduce portion sizes to stretch food.",I try to buy fruits occasionally when extra money is available.,I avoid foods that spoil too quickly.,Delivery fees are too high for me to consider using apps.,I could pay up to 200 KES weekly if food quality is guaranteed.,"I rotate between rice, ugali, and beans depending on prices.",Credit access from sellers is important.,I once used an SMS-based system but stopped due to cost.,Fortified foods could help fill nutrition gaps.,I cannot afford more than 50 KES currently.,I opted for sukuma wiki as the cheapest option available.,Fuel costs make cooking beans difficult.,I learn from other mothers in the community.,Nutrition education in local language is valuable.,I’d pay only if it reduces my expenses overall.
69,30,Female,6,Housewife,"When income is very low, we reduce portion sizes to stretch food.","Affordability always comes first, then nutrition if possible.",I buy based on what is available nearby.,I am interested but need help understanding how to use them.,I would only pay if bundles save me money overall.,I mix maize with sukuma and beans when possible.,I often choose based on convenience and distance.,Mobile platforms are confusing for me without training.,Eggs are rare due to high cost.,200 KES weekly for consistent bundles is fair.,I bought maize flour in bulk because it was discounted.,Markets are far and transport adds cost.,I ask health workers when they visit.,Cash-on-delivery option is important.,100 KES monthly if it helps improve diet.
70,22,Female,3,Housewife,"I mostly cook ugali with sukuma wiki, but proteins are rare due to cost.",Sometimes I buy based on what children prefer to eat.,Discounts and promotions influence my choice.,I don’t trust online platforms to deliver fresh food.,150 KES weekly is fair if variety improves for children.,I add dried fish occasionally for variety.,I often choose based on convenience and distance.,I would use if bundles included affordable staple foods.,Fruits like bananas and oranges are not regular in our diet.,200 KES weekly for consistent bundles is fair.,I had to skip eggs because prices went up suddenly.,I lack stable income to plan meals regularly.,I sometimes read posters in health centers.,Reminders for balanced meals would be useful.,150 KES monthly is acceptable with clear benefits.
71,25,Male,7,Housewife,"I prioritize milk when I have money, even if I skip other foods myself.",I try to buy fruits occasionally when extra money is available.,I avoid foods that spoil too quickly.,"I once tried ordering through a neighbor, but delivery was late.",I cannot pay extra due to my low income.,Limited income prevents me from achieving diversity regularly.,I buy foods that last longer in storage.,I saw a neighbor use an app and it seemed useful.,Fortified foods could help fill nutrition gaps.,150 KES weekly is reasonable if children’s diets improve.,I reduced portion sizes so all children could eat.,I lack stable income to plan meals regularly.,I ask health workers when they visit.,Affordable bundle suggestions would attract me.,200 KES monthly if it includes affordable bundles.
72,24,Female,4,Housewife,"Children usually eat porridge in the morning, sometimes plain tea if no milk.",I consider what lasts longer in storage when making decisions.,I avoid foods that spoil too quickly.,"I once tried ordering through a neighbor, but delivery was late.",At most 100 KES weekly depending on my income.,"I rotate between rice, ugali, and beans depending on prices.",Credit access from sellers is important.,I once used an SMS-based system but stopped due to cost.,Fortified foods could help fill nutrition gaps.,I would only pay if overall costs reduce my market spending.,I chose milk over vegetables because my child was sick.,Limited availability of fresh foods in my area.,I sometimes read posters in health centers.,Simple interface easy for non-smartphone users.,"I cannot pay extra, but free access would help."
73,25,Female,5,Small farmer,I try to grow a few vegetables in sacks to supplement meals.,I prioritize milk and eggs for my children whenever I can afford them.,I buy based on what is available nearby.,I am interested but need help understanding how to use them.,150 KES weekly is fair if variety improves for children.,"Cooking beans is my main strategy, though fuel costs are high.",I often choose based on convenience and distance.,I once used an SMS-based system but stopped due to cost.,"Milk is often missing, which worries me for growth.",100 KES weekly if delivery is reliable.,I bought maize flour in bulk because it was discounted.,Markets are far and transport adds cost.,I ask health workers when they visit.,Affordable bundle suggestions would attract me.,50 KES maximum for an education service.
74,29,Female,4,Informal trader,"When income is very low, we reduce portion sizes to stretch food.",I consider what lasts longer in storage when making decisions.,I buy based on what is available nearby.,Delivery fees are too high for me to consider using apps.,I would only pay if bundles save me money overall.,"I rotate between rice, ugali, and beans depending on prices.",Price is the strongest influence.,I have never used an app for food planning.,Chicken or fish are missing most weeks.,I would only pay if overall costs reduce my market spending.,I opted for sukuma wiki as the cheapest option available.,Food spoils quickly without refrigeration.,I get advice from local clinics during checkups.,Nutrition education in local language is valuable.,100 KES monthly if it helps improve diet.
75,42,Female,4,Domestic worker,"When income is very low, we reduce portion sizes to stretch food.",I prioritize milk and eggs for my children whenever I can afford them.,Discounts and promotions influence my choice.,I would try if cash-on-delivery was an option.,50 KES extra for delivery would be acceptable.,I add dried fish occasionally for variety.,Children’s preferences matter in my decisions.,I once used an SMS-based system but stopped due to cost.,Chicken or fish are missing most weeks.,I cannot afford more than 50 KES currently.,I chose milk over vegetables because my child was sick.,Markets are far and transport adds cost.,I sometimes read posters in health centers.,Affordable bundle suggestions would attract me.,"I cannot pay extra, but free access would help."
76,24,Female,7,Housewife,Beans and lentils are my main source of protein for the children.,I consider what lasts longer in storage when making decisions.,Freshness and cleanliness of food are important.,Delivery fees are too high for me to consider using apps.,At most 100 KES weekly depending on my income.,I add dried fish occasionally for variety.,Freshness of food matters when I can afford it.,I have never used an app for food planning.,Vegetables other than sukuma wiki are not common in our meals.,I would only pay if overall costs reduce my market spending.,I had to skip eggs because prices went up suddenly.,Markets are far and transport adds cost.,I learn from other mothers in the community.,Cash-on-delivery option is important.,150 KES monthly is acceptable with clear benefits.
77,25,Female,3,Casual worker,Beans and lentils are my main source of protein for the children.,"Affordability always comes first, then nutrition if possible.",Discounts and promotions influence my choice.,I have never used a mobile platform because I lack a smartphone.,I would only pay if bundles save me money overall.,I mix maize with sukuma and beans when possible.,I often choose based on convenience and distance.,I have never used an app for food planning.,Chicken or fish are missing most weeks.,200 KES weekly for consistent bundles is fair.,I opted for sukuma wiki as the cheapest option available.,Markets are far and transport adds cost.,I ask health workers when they visit.,Cash-on-delivery option is important.,150 KES monthly is acceptable with clear benefits.
78,41,Female,3,Housewife,I try to grow a few vegetables in sacks to supplement meals.,I try to buy fruits occasionally when extra money is available.,Freshness and cleanliness of food are important.,Delivery fees are too high for me to consider using apps.,150 KES weekly is fair if variety improves for children.,Sometimes I rely on neighbors’ advice for affordable variety.,I buy foods that last longer in storage.,I would try if instructions were simple and in local language.,Vegetables other than sukuma wiki are not common in our meals.,100 KES weekly if delivery is reliable.,I chose milk over vegetables because my child was sick.,I lack stable income to plan meals regularly.,I listen to radio programs about child health.,Cash-on-delivery option is important.,100 KES monthly if it helps improve diet.
79,23,Male,4,Small farmer,Beans and lentils are my main source of protein for the children.,"Affordability always comes first, then nutrition if possible.",I avoid foods that spoil too quickly.,I would try if cash-on-delivery was an option.,150 KES weekly is fair if variety improves for children.,Sometimes I rely on neighbors’ advice for affordable variety.,I buy foods that last longer in storage.,I saw a neighbor use an app and it seemed useful.,Vegetables other than sukuma wiki are not common in our meals.,150 KES weekly is reasonable if children’s diets improve.,I reduced portion sizes so all children could eat.,I lack stable income to plan meals regularly.,I sometimes read posters in health centers.,Reminders for balanced meals would be useful.,150 KES monthly is acceptable with clear benefits.
80,22,Female,5,Small farmer,I try to grow a few vegetables in sacks to supplement meals.,Sometimes I buy based on what children prefer to eat.,Discounts and promotions influence my choice.,I don’t trust online platforms to deliver fresh food.,I could pay up to 200 KES weekly if food quality is guaranteed.,I add dried fish occasionally for variety.,Freshness of food matters when I can afford it.,Mobile platforms are confusing for me without training.,Chicken or fish are missing most weeks.,200 KES weekly for consistent bundles is fair.,I had to skip eggs because prices went up suddenly.,High prices prevent me from buying protein foods.,I ask health workers when they visit.,Reminders for balanced meals would be useful.,150 KES monthly is acceptable with clear benefits.
81,31,Female,4,Casual worker,"I mostly cook ugali with sukuma wiki, but proteins are rare due to cost.",Vegetables like sukuma wiki are essential because they are relatively cheap.,I buy based on what is available nearby.,I have never used a mobile platform because I lack a smartphone.,I cannot pay extra due to my low income.,"Cooking beans is my main strategy, though fuel costs are high.",Children’s preferences matter in my decisions.,I would try if instructions were simple and in local language.,Eggs are rare due to high cost.,200 KES weekly for consistent bundles is fair.,I reduced portion sizes so all children could eat.,Fuel costs make cooking beans difficult.,I listen to radio programs about child health.,Nutrition education in local language is valuable.,100 KES monthly if it helps improve diet.
82,31,Female,6,Housewife,I try to grow a few vegetables in sacks to supplement meals.,I try to buy fruits occasionally when extra money is available.,I buy based on what is available nearby.,I have never used a mobile platform because I lack a smartphone.,At most 100 KES weekly depending on my income.,"I rotate between rice, ugali, and beans depending on prices.",Children’s preferences matter in my decisions.,I have never used an app for food planning.,Vegetables other than sukuma wiki are not common in our meals.,I would only pay if overall costs reduce my market spending.,I chose milk over vegetables because my child was sick.,Markets are far and transport adds cost.,I learn from other mothers in the community.,Nutrition education in local language is valuable.,150 KES monthly is acceptable with clear benefits.
83,35,Female,5,Casual worker,I try to grow a few vegetables in sacks to supplement meals.,I consider what lasts longer in storage when making decisions.,I prefer sellers who allow credit when I don’t have cash.,Delivery fees are too high for me to consider using apps.,50 KES extra for delivery would be acceptable.,Sometimes I rely on neighbors’ advice for affordable variety.,Freshness of food matters when I can afford it.,I saw a neighbor use an app and it seemed useful.,Fortified foods could help fill nutrition gaps.,I would only pay if overall costs reduce my market spending.,I had to skip eggs because prices went up suddenly.,Limited availability of fresh foods in my area.,I learn from other mothers in the community.,Cash-on-delivery option is important.,I’d pay only if it reduces my expenses overall.
84,39,Female,3,Small farmer,"I prioritize milk when I have money, even if I skip other foods myself.",Vegetables like sukuma wiki are essential because they are relatively cheap.,Freshness and cleanliness of food are important.,I am interested but need help understanding how to use them.,150 KES weekly is fair if variety improves for children.,I mix maize with sukuma and beans when possible.,Children’s preferences matter in my decisions.,I saw a neighbor use an app and it seemed useful.,Chicken or fish are missing most weeks.,200 KES weekly for consistent bundles is fair.,I chose milk over vegetables because my child was sick.,Food spoils quickly without refrigeration.,I ask health workers when they visit.,Affordable bundle suggestions would attract me.,200 KES monthly if it includes affordable bundles.
85,29,Male,5,Casual worker,"I mostly cook ugali with sukuma wiki, but proteins are rare due to cost.",I consider what lasts longer in storage when making decisions.,I buy based on what is available nearby.,I don’t trust online platforms to deliver fresh food.,I would only pay if bundles save me money overall.,I mix maize with sukuma and beans when possible.,Freshness of food matters when I can afford it.,Mobile platforms are confusing for me without training.,Chicken or fish are missing most weeks.,100 KES weekly if delivery is reliable.,I had to skip eggs because prices went up suddenly.,Limited availability of fresh foods in my area.,I ask health workers when they visit.,Nutrition education in local language is valuable.,50 KES maximum for an education service.
86,45,Female,6,Domestic worker,"I mostly cook ugali with sukuma wiki, but proteins are rare due to cost.","Affordability always comes first, then nutrition if possible.",Affordability is the main factor for me.,I don’t trust online platforms to deliver fresh food.,50 KES extra for delivery would be acceptable.,"Cooking beans is my main strategy, though fuel costs are high.",Children’s preferences matter in my decisions.,Mobile platforms are confusing for me without training.,Fruits like bananas and oranges are not regular in our diet.,150 KES weekly is reasonable if children’s diets improve.,I opted for sukuma wiki as the cheapest option available.,Markets are far and transport adds cost.,I get advice from local clinics during checkups.,Reminders for balanced meals would be useful.,200 KES monthly if it includes affordable bundles.
87,27,Female,5,Small farmer,"When income is very low, we reduce portion sizes to stretch food.",Sometimes I buy based on what children prefer to eat.,I prefer sellers who allow credit when I don’t have cash.,Delivery fees are too high for me to consider using apps.,I could pay up to 200 KES weekly if food quality is guaranteed.,"Cooking beans is my main strategy, though fuel costs are high.",I buy foods that last longer in storage.,I saw a neighbor use an app and it seemed useful.,"Milk is often missing, which worries me for growth.",50 KES extra is my maximum for delivery.,I reduced portion sizes so all children could eat.,Limited availability of fresh foods in my area.,"I rarely use formal platforms, mostly word of mouth.",Nutrition education in local language is valuable.,50 KES maximum for an education service.
88,24,Male,3,Small farmer,"I mostly cook ugali with sukuma wiki, but proteins are rare due to cost.",Vegetables like sukuma wiki are essential because they are relatively cheap.,I prefer sellers who allow credit when I don’t have cash.,I am interested but need help understanding how to use them.,At most 100 KES weekly depending on my income.,"Cooking beans is my main strategy, though fuel costs are high.",Price is the strongest influence.,Mobile platforms are confusing for me without training.,Vegetables other than sukuma wiki are not common in our meals.,100 KES weekly if delivery is reliable.,Last week I bought beans instead of meat due to price.,Limited availability of fresh foods in my area.,I ask health workers when they visit.,Simple interface easy for non-smartphone users.,100 KES monthly if it helps improve diet.
89,45,Female,6,Casual worker,I try to grow a few vegetables in sacks to supplement meals.,"Affordability always comes first, then nutrition if possible.",I buy based on what is available nearby.,I have never used a mobile platform because I lack a smartphone.,At most 100 KES weekly depending on my income.,"I rotate between rice, ugali, and beans depending on prices.",Children’s preferences matter in my decisions.,I saw a neighbor use an app and it seemed useful.,Chicken or fish are missing most weeks.,100 KES weekly if delivery is reliable.,Last week I bought beans instead of meat due to price.,I lack stable income to plan meals regularly.,I learn from other mothers in the community.,Cash-on-delivery option is important.,50 KES maximum for an education service.
90,44,Female,6,Casual worker,"Children usually eat porridge in the morning, sometimes plain tea if no milk.",I try to buy fruits occasionally when extra money is available.,I avoid foods that spoil too quickly.,I am interested but need help understanding how to use them.,I would only pay if bundles save me money overall.,"Cooking beans is my main strategy, though fuel costs are high.",I buy foods that last longer in storage.,I once used an SMS-based system but stopped due to cost.,Fruits like bananas and oranges are not regular in our diet.,200 KES weekly for consistent bundles is fair.,I had to skip eggs because prices went up suddenly.,Fuel costs make cooking beans difficult.,I listen to radio programs about child health.,Affordable bundle suggestions would attract me.,50 KES maximum for an education service.
91,26,Female,4,Casual worker,"Children usually eat porridge in the morning, sometimes plain tea if no milk.","Affordability always comes first, then nutrition if possible.",Freshness and cleanliness of food are important.,I am interested but need help understanding how to use them.,50 KES extra for delivery would be acceptable.,"I rotate between rice, ugali, and beans depending on prices.",I buy foods that last longer in storage.,I would try if instructions were simple and in local language.,Fruits like bananas and oranges are not regular in our diet.,I would only pay if overall costs reduce my market spending.,I had to skip eggs because prices went up suddenly.,Markets are far and transport adds cost.,I get advice from local clinics during checkups.,Affordable bundle suggestions would attract me.,150 KES monthly is acceptable with clear benefits.
92,23,Male,5,Housewife,"I prioritize milk when I have money, even if I skip other foods myself.",Sometimes I buy based on what children prefer to eat.,I prefer sellers who allow credit when I don’t have cash.,"I once tried ordering through a neighbor, but delivery was late.",I would only pay if bundles save me money overall.,Limited income prevents me from achieving diversity regularly.,Freshness of food matters when I can afford it.,Mobile platforms are confusing for me without training.,Eggs are rare due to high cost.,I cannot afford more than 50 KES currently.,I bought maize flour in bulk because it was discounted.,Food spoils quickly without refrigeration.,I ask health workers when they visit.,Cash-on-delivery option is important.,I’d pay only if it reduces my expenses overall.
93,21,Male,3,Informal trader,"Children usually eat porridge in the morning, sometimes plain tea if no milk.",Vegetables like sukuma wiki are essential because they are relatively cheap.,I buy based on what is available nearby.,I don’t trust online platforms to deliver fresh food.,I cannot pay extra due to my low income.,I mix maize with sukuma and beans when possible.,I often choose based on convenience and distance.,I once used an SMS-based system but stopped due to cost.,"Milk is often missing, which worries me for growth.",200 KES weekly for consistent bundles is fair.,I chose milk over vegetables because my child was sick.,I lack stable income to plan meals regularly.,I listen to radio programs about child health.,Simple interface easy for non-smartphone users.,"I cannot pay extra, but free access would help."
